Curso,Disciplina,Natureza,Tipo de Bibliografia,Correspondência,Livro no PPC,Livro no campus,Autor,Edição,Volume,Exemplares,Título comparado,valor_livro_novo,site_preco,observacao
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"PONTE, J. P.; BROCARDO, J.; OLIVEIRA, H. Investigações Matemáticas na sala de aula. 2 ed. Belo Horizonte: Autêntica, 2009.",,,,,0,Investigações Matemáticas na sala de aula,"R$ 40,05",https://www.estantevirtual.com.br/livro/investigacoes-matematicas-na-sala-de-aula-nova-edicao-00U-1660-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual para a edição nova disponível atualmente.
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"PONTE, J.P.; OLIVEIRA, H.; BRUNHEIRA, L.; VARANDAS, J. M.; FERREIRA, C. O trabalho do professor numa aula de investigação matemática. Quadrante, 7(2), 41-70, 1998.",,,,,0,O trabalho do professor numa aula de investigação matemática,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"SKOVSMOSE, O. Cenários de investigação. Bolema- Boletim de Educação Matemática, Rio Claro (SP) n.14, p. 66-91, 2000. BIBLIOGRAFIA COMPLEMENTAR (mínimo 05 títulos)",,,,,0,Cenários de investigação,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"FRISKE, A. L. et al. Minicurso de GeoGebra. Universidade Federal de Santa Maria. 2016. Disponível em: https://www.ufsm.br/app/uploads/sites/783/2020/02/Apostila_GeoGebra.pdf. Acesso em: 15/06/2024.",,,,,0,"FRISKE, A. L. et al. Minicurso de GeoGebra. Universidade Federal de Santa Maria. 2016. Disponível em: https://www.ufsm.br/app/uploads/sites/783/2020/02/Apostila_GeoGebra.pdf. Acesso em: 15/06/2024.",Não encontrado,https://www.ufsm.br/app/uploads/sites/783/2020/02/Apostila_GeoGebra.pdf,"A referência aponta para apostila em PDF, não para livro físico novo."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"MENDES, IJOSIEL. Proposições geométricas com animações. 2014. 115 f. Dissertação (Mestrado Profissional em Matemática) Universidade Estadual Paulista. São José do Rio Preto. 2014. Disponível em: https://repositorio.unesp.br/server/api/core/bitstreams/5d4d9f88-e2e4-412b-bb6ba3a0fdaa8f00/content. Acesso em: 15/06/2024.",,,,,0,Proposições geométricas com animações,Não encontrado,https://repositorio.unesp.br/server/api/core/bitstreams/5d4d9f88-e2e4-412b-bb6ba3a0fdaa8f00/content,"Referência de dissertação disponível em repositório, não de livro físico novo."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"ROCHA, C. A. Uma experiência com actividades de investigação na aula de Matemática: Competências matemáticas, atitudes e concepções de dois alunos do 7.º ano de escolaridade (Tese de mestrado, Universidade do Porto). Lisboa: APM. (disponível em http://ia.fc.ul.pt). 2003.",,,,,0,"Uma experiência com actividades de investigação na aula de Matemática: Competências matemáticas, atitudes e concepções de dois alunos do 7.º ano de escolaridade (Tese de mestrado, Universidade do Porto)",Não encontrado,http://ia.fc.ul.pt,"Referência de tese/dissertação, não de livro físico novo."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"SKOVSMOSE, O. Desafios da Educação Matemática Crítica. São Paulo: Papirus. 2008.",,,,,0,Desafios da Educação Matemática Crítica,Não encontrado,https://www.travessa.com.br/desafios-da-reflexao-em-educacao-matematica-critica/artigo/4772a9e5-ae3e-4199-b599-37399d190cb4,"Encontrei referência física para título aparentado e edição posterior, mas não confirmei oferta atual de exemplar novo exatamente com a referência do CSV."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"VARANDAS, J. M. Avaliação de investigações matemáticas. Uma experiência. (tese de Mestrado, Universidade de Lisboa). Lisboa: APM, 2000. 3º Semestre",,,,,0,Avaliação de investigações matemáticas,Não encontrado,,"Referência de tese/dissertação, não de livro físico novo."
Matemática,"Ética, Cidadania e Direitos Humanos",Obrigatória,Básica,Não,"CANDAU, V.M.; SACAVINO, S. (Org.). Educar em direitos humanos: construir democracia. Rio de Janeiro: Vozes, 2000.",,,,,0,(Org.),"R$ 40,00",https://www.estantevirtual.com.br/busca/educar-em-direitos-humanos%3A-construir---democracia-candau,Preço de exemplar físico novo encontrado na Estante Virtual.
Matemática,"Ética, Cidadania e Direitos Humanos",Obrigatória,Básica,Não,"CARNEIRO, M.L.T. O racismo na história do Brasil: mito e realidade. São Paulo: Ática editora, 2002.",,,,,0,O racismo na história do Brasil: mito e realidade,US$ 35.80,https://www.abebooks.com/9788508046003/racismo-hist%C3%B3ria-Brasil-Mito-realidade-8508046006/plp,Preço de exemplar físico novo em loja estrangeira; não encontrei oferta brasileira atual com snippet de preço.
